Billing_Type,Month,Postal_Code,Num_People,Num_Children,SqFt,Monthly_Income,Usage_kWh,On_Peak_kWh,Mid_Peak_kWh,Off_Peak_kWh,Delivery_Charge,Regulatory_Charge,Rebate_Amount,Total_Bill
TOU,January,M5V,2,1,950,4200,1200,400,350,450,38.40,4.90,24.83,180.87
TOU,February,N6G,3,2,1100,3900,1350,450,400,500,43.20,4.90,28.00,203.80
TOU,March,K1A,4,3,1600,4700,1450,500,450,500,46.40,4.90,30.10,218.50
TOU,April,L4B,2,,1000,3600,1100,350,350,400,35.20,4.90,22.90,166.60
TOU,May,N2M,1,0,850,3100,980,300,320,360,31.36,4.90,20.39,148.37
TOU,June,K8N,3,2,1200,4400,1250,420,400,430,40.00,4.90,25.89,183.91
TOU,July,M5A,2,1,950,4000,1180,390,390,400,37.76,4.90,24.47,177.59
TOU,August,L6S,3,,1050,4100,1220,410,400,410,39.04,4.90,25.33,182.61
TOU,September,N1T,1,0,700,3400,950,300,320,330,30.40,4.90,19.71,143.29
TOU,October,K2G,4,3,1350,3900,1300,430,420,450,41.60,4.90,26.83,188.47
TOU,November,M6J,2,1,850,3200,1050,340,350,360,33.60,4.90,21.80,155.50
TOU,December,L7E,3,2,1500,4500,1400,470,460,470,44.80,4.90,29.20,212.90
TOU,January,N5Y,2,2,1000,4000,1150,380,370,400,36.80,4.90,23.83,172.67
TOU,February,K1C,3,1,950,3700,1120,370,370,380,35.84,4.90,23.31,169.63
TOU,March,L4T,1,,800,3300,1000,330,330,340,32.00,4.90,21.00,153.90
TOU,April,M1G,3,2,1200,4600,1250,410,420,420,40.00,4.90,25.89,183.91
TOU,May,N2L,2,1,900,3900,1080,360,360,360,34.56,4.90,22.41,162.45
TOU,June,K8P,1,0,700,3100,940,310,310,320,30.08,4.90,19.50,142.48
TOU,July,M5V,4,3,1600,4800,1450,480,470,500,46.40,4.90,30.10,218.50
TOU,August,L6H,3,2,1000,3500,1200,400,400,400,38.40,4.90,24.83,180.87
TOU,September,N1H,2,1,850,4000,1050,350,350,350,33.60,4.90,21.80,155.50
TOU,October,K2P,1,,800,3200,980,320,330,330,31.36,4.90,20.39,148.37
TOU,November,M6N,3,2,1350,3900,1300,430,430,440,41.60,4.90,26.83,188.47
TOU,December,L7G,2,1,900,3600,1100,370,370,360,35.20,4.90,22.90,166.60
TOU,January,N5X,4,3,1500,4500,1400,470,470,460,44.80,4.90,29.20,212.90
TOU,February,K1Y,2,2,1000,4100,1150,380,380,390,36.80,4.90,23.83,172.67
TOU,March,L4B,1,1,950,3700,1120,370,370,380,35.84,4.90,23.31,169.63
TOU,April,M5A,3,2,800,3300,1000,330,330,340,32.00,4.90,21.00,153.90
TOU,May,N2M,2,,1200,4600,1250,410,420,420,40.00,4.90,25.89,183.91
TOU,June,K8N,1,0,900,3900,1080,360,360,360,34.56,4.90,22.41,162.45
TOU,July,M1G,2,1,700,3100,940,310,310,320,30.08,4.90,19.50,142.48
TOU,August,L6S,4,3,1600,4800,1450,480,470,500,46.40,4.90,30.10,218.50
TOU,September,N1T,3,2,1000,3500,1200,400,400,400,38.40,4.90,24.83,180.87
TOU,October,K2G,2,1,850,4000,1050,350,350,350,33.60,4.90,21.80,155.50
TOU,November,M6J,1,,800,3200,980,320,330,330,31.36,4.90,20.39,148.37
TOU,December,L7E,3,2,1350,3900,1300,430,430,440,41.60,4.90,26.83,188.47
TOU,January,N5Y,2,1,900,3600,1100,370,370,360,35.20,4.90,22.90,166.60
TOU,February,K1C,4,3,1500,4500,1400,470,470,460,44.80,4.90,29.20,212.90
TOU,March,L4T,2,2,1000,4100,1150,380,380,390,36.80,4.90,23.83,172.67
TOU,April,M1G,1,1,950,3700,1120,370,370,380,35.84,4.90,23.31,169.63
TOU,May,N2L,3,2,800,3300,1000,330,330,340,32.00,4.90,21.00,153.90
TOU,June,K8P,2,,1200,4600,1250,410,420,420,40.00,4.90,25.89,183.91
TOU,July,M5V,1,0,900,3900,1080,360,360,360,34.56,4.90,22.41,162.45
TOU,August,L6H,3,1,700,3100,940,310,310,320,30.08,4.90,19.50,142.48
TOU,September,N1H,4,3,1600,4800,1450,480,470,500,46.40,4.90,30.10,218.50
TOU,October,K2G,2,2,1000,3500,1200,400,400,400,38.40,4.90,24.83,180.87
TOU,November,M6J,1,1,950,3700,1120,370,370,380,35.84,4.90,23.31,169.63
TOU,December,L7E,3,2,800,3300,1000,330,330,340,32.00,4.90,21.00,153.90
TOU,January,N5Y,2,,1200,4600,1250,410,420,420,40.00,4.90,25.89,183.91
TOU,February,K1C,1,0,900,3900,1080,360,360,360,34.56,4.90,22.41,162.45
