Billing_Type,Month,Postal_Code,Num_People,Num_Children,SqFt,Monthly_Income,Usage_kWh,Lower_Tier_kWh,Upper_Tier_kWh,Total_Bill
Tiered,January,N5V,4,2,1200,2800,850,700,150,105.32
Tiered,July,M6H,2,0,800,4500,620,600,20,78.45
Tiered,October,K1A,3,1,950,3200,700,700,0,89.20
Tiered,March,L6T,5,3,1500,2600,900,700,200,112.50
Tiered,August,N2L,1,0,600,5200,580,580,0,74.10
Tiered,December,M1B,3,2,1100,3100,800,700,100,98.75
Tiered,May,K2P,2,1,850,3900,640,600,40,82.30
Tiered,November,N9A,4,2,1300,2700,870,700,170,107.90
Tiered,June,L4W,3,0,1000,4300,610,600,10,79.60
Tiered,February,M5V,5,4,1600,2500,950,700,250,118.40
Tiered,April,N1G,2,1,900,3400,670,600,70,85.20
Tiered,September,K8N,3,2,1000,3000,720,700,20,91.10
Tiered,January,L3R,4,3,1400,2600,880,700,180,109.80
Tiered,July,M4C,1,0,500,5500,560,560,0,71.90
Tiered,October,N7M,3,1,950,3200,690,690,0,87.50
Tiered,March,K2H,5,2,1600,2700,920,700,220,114.30
Tiered,August,M1E,2,0,750,4800,600,600,0,76.40
Tiered,December,N6A,3,2,1100,3100,810,700,110,99.60
Tiered,May,L8S,2,1,850,3900,650,600,50,83.10
Tiered,November,K1Z,4,2,1300,2700,860,700,160,106.80
Tiered,June,M5A,3,0,1000,4300,620,600,20,80.10
Tiered,February,N2G,5,4,1600,2500,960,700,260,119.20
Tiered,April,L6Y,2,1,900,3400,680,600,80,86.10
Tiered,September,M3N,3,2,1000,3000,730,700,30,92.00
Tiered,January,K1C,4,3,1400,2600,890,700,190,110.70
Tiered,July,N8X,1,0,500,5600,570,570,0,72.80
Tiered,October,L1T,3,1,950,3200,700,700,0,89.90
Tiered,March,M9L,5,2,1600,2700,930,700,230,115.20
Tiered,August,K7L,2,0,750,4900,610,600,10,77.30
Tiered,December,N3R,3,2,1100,3100,820,700,120,100.50
Tiered,May,L5V,2,1,850,3900,660,600,60,84.00
Tiered,November,M1K,4,2,1300,2700,880,700,180,108.70
Tiered,June,N4W,3,0,1000,4300,630,600,30,81.00
Tiered,February,K2J,5,4,1600,2500,970,700,270,120.10
Tiered,April,M6P,2,1,900,3400,690,600,90,87.00
Tiered,September,N5X,3,2,1000,3000,740,700,40,92.90
Tiered,January,L7T,4,3,1400,2600,900,700,200,111.60
Tiered,July,K1B,1,0,500,5700,580,580,0,73.70
Tiered,October,M4B,3,1,950,3200,710,700,10,90.80
Tiered,March,N9H,5,2,1600,2700,940,700,240,116.10
Tiered,August,L3P,2,0,750,5000,620,600,20,78.20
Tiered,December,K8P,3,2,1100,3100,830,700,130,101.40
Tiered,May,M1N,2,1,850,3900,670,600,70,84.90
Tiered,November,N2M,4,2,1300,2700,890,700,190,109.60
Tiered,June,L6R,3,0,1000,4300,640,600,40,81.90
Tiered,February,M5H,5,4,1600,2500,980,700,280,121.00
Tiered,April,N1H,2,1,900,3400,700,600,100,87.90
Tiered,September,K1Y,3,2,1000,3000,750,700,50,93.80
Tiered,January,M3J,4,3,1400,2600,910,700,210,112.50
Tiered,July,N6K,1,0,500,5800,590,590,0,74.60
Tiered,October,L4T,3,1,950,3200,720,700,20,91.70
Tiered,March,K7M,4,2,1250,2800,860,700,160,106.20
Tiered,August,M3M,2,0,750,4700,590,590,0,75.10
Tiered,December,N1E,3,2,1150,3100,810,700,110,99.70
Tiered,May,L9T,2,1,880,4000,660,600,60,84.10
Tiered,November,K2L,4,2,1350,2700,880,700,180,108.80
Tiered,June,M1C,3,0,1020,4300,640,600,40,82.00
Tiered,February,N3T,5,4,1650,2500,970,700,270,120.20
Tiered,April,L7S,2,1,920,3400,700,600,100,88.00
Tiered,September,K1G,3,2,1020,3000,750,700,50,93.90
Tiered,January,M6N,4,3,1450,2600,910,700,210,112.60
Tiered,July,N5Y,1,0,520,5800,590,590,0,74.70
Tiered,October,L1S,3,1,970,3200,720,700,20,91.80
Tiered,March,M9W,5,2,1620,2700,940,700,240,116.20
Tiered,August,K7P,2,0,770,5000,620,600,20,78.30
Tiered,December,N3Y,3,2,1120,3100,830,700,130,101.50
Tiered,May,L5W,2,1,870,3900,670,600,70,85.00
Tiered,November,M1L,4,2,1320,2700,890,700,190,109.70
Tiered,June,N4X,3,0,1010,4300,650,600,50,82.90
Tiered,February,K2K,5,4,1580,2500,980,700,280,121.10
Tiered,April,M6S,2,1,910,3400,710,600,110,88.90
Tiered,January,M5V,4,2,1600,5200,1450,1000,450,178.70
Tiered,February,N6G,3,1,1400,4900,1350,1000,350,167.50
Tiered,March,K1A,5,3,1800,5400,1500,1000,500,185.60
Tiered,April,L4B,2,,1200,4600,1250,1000,250,154.11
Tiered,May,N2M,3,2,1350,4800,1320,1000,320,164.10
Tiered,June,K8N,4,3,1700,5100,1400,1000,400,172.50
Tiered,July,M5A,3,2,1500,5000,1380,1000,380,170.71
Tiered,August,L6S,2,1,1300,4700,1280,1000,280,160.81
Tiered,September,N1T,3,2,1450,4900,1340,1000,340,166.78
Tiered,October,K2G,4,3,1600,5200,1420,1000,420,174.74
Tiered,November,M6J,2,1,1250,4600,1260,1000,260,158.42
Tiered,December,L7E,3,2,1500,5000,1390,1000,390,171.55
Tiered,January,N5Y,4,2,1600,5200,1440,1000,440,176.88
Tiered,February,K1C,3,1,1400,4900,1340,1000,340,166.78
Tiered,March,L4T,5,3,1800,5400,1490,1000,490,184.48
Tiered,April,M1G,2,,1200,4600,1240,1000,240,152.59
Tiered,May,N2L,3,2,1350,4800,1310,1000,310,162.62
Tiered,June,K8P,4,3,1700,5100,1390,1000,390,171.55
Tiered,July,M5V,3,2,1500,5000,1370,1000,370,169.69
Tiered,August,L6H,2,1,1300,4700,1270,1000,270,159.79
Tiered,September,N1H,4,3,1600,5200,1430,1000,430,175.96
Tiered,October,K2P,3,2,1450,4900,1360,1000,360,168.22
Tiered,November,M6N,2,1,1250,4600,1290,1000,290,161.88
Tiered,December,L7G,3,2,1500,5000,1400,1000,400,172.50
Tiered,January,N5X,4,2,1600,5200,1460,1000,460,178.32
Tiered,January,M5V,2,1,950,4200,820,820,0,79.08
Tiered,February,N6G,3,2,1100,3900,890,890,0,83.66
Tiered,March,K1A,4,3,1600,4700,910,910,0,85.54
Tiered,April,L4B,,2,1000,3600,780,780,0,73.32
Tiered,May,N2M,1,0,850,3100,740,740,0,69.56
Tiered,June,K8N,3,2,1200,4400,860,860,0,80.84
Tiered,July,M5A,2,1,950,4000,800,800,0,75.20
Tiered,August,L6S,3,,1050,4100,850,850,0,79.90
Tiered,September,N1T,1,0,700,3400,720,720,0,67.68
Tiered,October,K2G,4,3,1350,3900,870,870,0,81.78
Tiered,November,M6J,2,1,850,3200,790,790,0,74.26
Tiered,December,L7E,3,2,1500,4500,900,900,0,84.60
Tiered,January,N5Y,2,2,1000,4000,810,810,0,76.14
Tiered,February,K1C,3,1,950,3700,800,800,0,75.20
Tiered,March,L4T,1,,800,3300,750,750,0,70.50
Tiered,April,M1G,3,2,1200,4600,860,860,0,80.84
Tiered,May,N2L,2,1,900,3900,780,780,0,73.32
Tiered,June,K8P,1,0,700,3100,710,710,0,66.74
Tiered,July,M5V,4,3,1600,4800,920,920,0,86.48
Tiered,August,L6H,3,2,1000,3500,850,850,0,79.90
Tiered,September,N1H,2,1,850,4000,790,790,0,74.26
Tiered,October,K2P,1,,800,3200,740,740,0,69.56
Tiered,November,M6N,3,2,1350,3900,870,870,0,81.78
Tiered,December,L7G,2,1,900,3600,800,800,0,75.20
Tiered,January,N5X,4,3,1500,4500,910,910,0,85.54
Tiered,February,K1Y,2,2,1000,4100,820,820,0,77.08
Tiered,March,L4B,1,1,950,3700,800,800,0,75.20
Tiered,April,M5A,3,2,800,3300,750,750,0,70.50
Tiered,May,N2M,2,,1200,4600,860,860,0,80.84
Tiered,June,K8N,1,0,900,3900,780,780,0,73.32
Tiered,July,M1G,2,1,700,3100,710,710,0,66.74
Tiered,August,L6S,4,3,1600,4800,920,920,0,86.48
Tiered,September,N1T,3,2,1000,3500,850,850,0,79.90
Tiered,October,K2G,2,1,850,4000,790,790,0,74.26
Tiered,November,M6J,1,,800,3200,740,740,0,69.56
Tiered,December,L7E,3,2,1350,3900,870,870,0,81.78
Tiered,January,N5Y,2,1,900,3600,800,800,0,75.20
Tiered,February,K1C,4,3,1500,4500,910,910,0,85.54
Tiered,March,L4T,2,2,1000,4100,820,820,0,77.08
Tiered,April,M1G,1,1,950,3700,800,800,0,75.20
Tiered,May,N2L,3,2,800,3300,750,750,0,70.50
Tiered,June,K8P,2,,1200,4600,860,860,0,80.84
Tiered,July,M5V,1,0,900,3900,780,780,0,73.32
Tiered,August,L6H,3,1,700,3100,710,710,0,66.74
Tiered,September,N1H,4,3,1600,4800,920,920,0,86.48
Tiered,October,K2P,2,2,1000,3500,850,850,0,79.90
Tiered,November,M6N,1,1,850,4000,790,790,0,74.26
Tiered,December,L7G,3,,800,3200,740,740,0,69.56
Tiered,February,K1Y,3,1,1400,4900,1330,1000,330,165.46
Tiered,March,L4B,5,3,1800,5400,1510,1000,510,186.72
Tiered,April,M5A,2,,1200,4600,1230,1000,230,151.57
Tiered,May,N2M,3,2,1350,4800,1300,1000,300,161.50
Tiered,June,K8N,4,3,1700,5100,1380,1000,380,170.71
Tiered,July,M1G,3,2,1500,5000,1360,1000,360,168.22
Tiered,August,L6S,2,1,1300,4700,1260,1000,260,158.42
Tiered,September,N1T,4,3,1600,5200,1420,1000,420,174.74
Tiered,October,K2G,3,2,1450,4900,1350,1000,350,167.50
Tiered,November,M6J,2,1,1250,4600,1280,1000,280,160.81
Tiered,December,L7E,3,2,1500,5000,1390,1000,390,171.55
Tiered,January,N5Y,4,2,1600,5200,1450,1000,450,178.70
Tiered,February,K1C,3,1,1400,4900,1340,1000,340,166.78
Tiered,January,M5V,3,2,1200,4800,980,980,0,92.12
Tiered,February,N6G,2,1,950,4200,890,890,0,83.66
Tiered,March,K1A,4,3,1600,5100,910,910,0,85.54
Tiered,April,L4B,,2,1000,3600,870,870,0,81.78
Tiered,May,N2M,1,0,850,3100,760,760,0,71.44
Tiered,June,K8N,3,2,1200,4400,860,860,0,80.84
Tiered,July,M5A,2,1,950,4000,800,800,0,75.20
Tiered,August,L6S,3,,1050,4100,850,850,0,79.90
Tiered,September,N1T,1,0,700,3400,720,720,0,67.68
Tiered,October,K2G,4,3,1350,3900,870,870,0,81.78
Tiered,November,M6J,2,1,850,3200,790,790,0,74.26
Tiered,December,L7E,3,2,1500,4500,900,900,0,84.60
Tiered,January,N5Y,2,2,1000,4000,810,810,0,76.14
Tiered,February,K1C,3,1,950,3700,800,800,0,75.20
Tiered,March,L4T,1,,800,3300,750,750,0,70.50
Tiered,April,M1G,3,2,1200,4600,860,860,0,80.84
Tiered,May,N2L,2,1,900,3900,780,780,0,73.32
