Billing_Type,Month,Postal_Code,Num_People,Num_Children,SqFt,Monthly_Income,Usage_kWh,Overnight_kWh,On_Peak_kWh,Mid_Peak_kWh,Off_Peak_kWh,Total_Bill
ULO,February,M6H,3,1,900,3200,700,300,150,150,100,85.10
ULO,August,N5V,5,3,1800,2400,950,200,300,250,200,110.75
ULO,November,K1A,2,0,700,2800,600,250,100,150,100,76.40
ULO,January,L6T,4,2,1400,2900,880,350,200,180,150,102.90
ULO,June,N2L,1,0,500,5100,540,180,120,120,120,72.30
ULO,March,M1B,3,2,1100,3300,750,280,180,160,130,89.60
ULO,July,K2P,2,1,850,4000,680,220,200,160,100,83.20
ULO,October,N9A,4,2,1300,2700,820,300,250,170,100,97.50
ULO,May,L4W,3,0,1000,4300,610,200,150,150,110,79.10
ULO,December,M5V,5,4,1600,2500,980,400,250,200,130,115.80
ULO,April,N1G,2,1,900,3400,670,250,150,150,120,84.20
ULO,September,K8N,3,2,1000,3000,720,280,180,160,100,91.10
ULO,January,L3R,4,3,1400,2600,880,320,220,180,160,108.90
ULO,July,M4C,1,0,500,5500,560,180,140,120,120,71.90
ULO,October,N7M,3,1,950,3200,690,250,200,140,100,87.50
ULO,March,K2H,5,2,1600,2700,920,300,250,200,170,114.30
ULO,January,M5V,4,2,1600,5200,1450,0.124,46.40,4.90,30.10,199.00
ULO,February,N6G,3,1,1400,4900,1350,0.124,43.20,4.90,28.00,185.50
ULO,March,K1A,5,3,1800,5400,1500,0.124,48.00,4.90,31.30,205.60
ULO,April,L4B,2,,1200,4600,1250,0.124,40.00,4.90,25.89,178.11
ULO,May,N2M,3,2,1350,4800,1320,0.124,42.24,4.90,27.40,187.10
ULO,June,K8N,4,3,1700,5100,1400,0.124,44.80,4.90,29.20,193.50
ULO,July,M5A,3,2,1500,5000,1380,0.124,44.16,4.90,28.75,191.71
ULO,August,L6S,2,1,1300,4700,1280,0.124,40.96,4.90,26.65,180.81
ULO,September,N1T,3,2,1450,4900,1340,0.124,42.88,4.90,27.70,186.78
ULO,October,K2G,4,3,1600,5200,1420,0.124,45.44,4.90,29.60,192.74
ULO,November,M6J,2,1,1250,4600,1260,0.124,40.32,4.90,26.10,179.42
