iter	RMSE
0	30.96632055
1	29.69297888
2	28.45329493
3	27.38384983
4	26.2139312
5	25.1196129
6	24.11844245
7	23.22365242
8	22.26498414
9	21.49882201
10	20.70558788
11	19.87835795
12	19.08624775
13	18.40114408
14	17.72766145
15	17.06032873
16	16.41731159
17	15.74917813
18	15.07927687
19	14.48816901
20	13.88232266
21	13.29909933
22	12.75419425
23	12.243704
24	11.78971848
25	11.29746667
26	10.89831723
27	10.47394194
28	10.06738464
29	9.726606222
30	9.387868006
31	9.028839032
32	8.783454753
33	8.445822966
34	8.111319286
35	7.797110119
36	7.520602582
37	7.239533584
38	7.005847793
39	6.753261053
40	6.530193719
41	6.293228762
42	6.068242467
43	5.866199079
44	5.653258147
45	5.474600093
46	5.301412407
47	5.123878649
48	4.932341259
49	4.761714419
50	4.589639149
51	4.444721152
52	4.290023845
53	4.153645657
54	4.014096942
55	3.893324263
56	3.769740446
57	3.651350253
58	3.530029612
59	3.412906287
60	3.323558185
61	3.222227726
62	3.129616837
63	3.06112692
64	2.974757825
65	2.899848458
66	2.822636606
67	2.742287282
68	2.676138126
69	2.617829206
70	2.557904857
71	2.500608224
72	2.439083452
73	2.387467087
74	2.330588602
75	2.276758445
76	2.222881743
77	2.176582313
78	2.13351617
79	2.092398088
80	2.049870745
81	2.008646641
82	1.972984886
83	1.93540507
84	1.899646503
85	1.869456272
86	1.831017424
87	1.801068937
88	1.763246083
89	1.733414208
90	1.713708754
91	1.6856271
92	1.655015753
93	1.629216146
94	1.602414878
95	1.58418732
96	1.562446607
97	1.535454574
98	1.519298946
99	1.496738657
100	1.473043722
101	1.453181755
102	1.43193872
103	1.410547321
104	1.391719274
105	1.370532129
106	1.356436084
107	1.33824062
108	1.323236832
109	1.305967874
110	1.295312004
111	1.278787957
112	1.267570423
113	1.255911852
114	1.243419993
115	1.23170015
116	1.217497423
117	1.2070091
118	1.193473663
119	1.182856075
120	1.169067014
121	1.159095877
122	1.148317254
123	1.136243677
124	1.12552521
125	1.113486954
126	1.09893223
127	1.083052064
128	1.07192886
129	1.063208755
130	1.055836578
131	1.045280232
132	1.031451874
133	1.020567723
134	1.009098767
135	0.9996118908
136	0.9925700131
137	0.9815018349
138	0.9705487479
139	0.9612405748
140	0.9532717886
141	0.9441453735
142	0.9339749591
143	0.9271962002
144	0.9188009227
145	0.9131646001
146	0.9040864387
147	0.8971728303
148	0.8892942954
149	0.8809330922
150	0.8714365928
151	0.8660360859
152	0.860197696
153	0.8493692132
154	0.8413506688
155	0.8351492843
156	0.8276593695
157	0.8201263498
158	0.8151343506
159	0.8105399979
160	0.8057069342
161	0.8009374341
162	0.7953935102
163	0.7904869348
164	0.7807739107
165	0.775928491
166	0.7681451026
167	0.7620962077
168	0.7567347852
169	0.751119222
170	0.7460941645
171	0.7409398433
172	0.7331318054
173	0.7292547114
174	0.7245155393
175	0.7197511649
176	0.715513095
177	0.7111400553
178	0.7071649964
179	0.7020330793
180	0.6985020674
181	0.6950072728
182	0.6920465639
183	0.6868482421
184	0.6828153555
185	0.677902162
186	0.6736997963
187	0.670291575
188	0.6667783338
189	0.6641300799
190	0.6615688024
191	0.6586661752
192	0.6518454946
193	0.6491132685
194	0.6430219071
195	0.6383092932
196	0.6367879826
197	0.6345554734
198	0.6319748887
199	0.6277256884
200	0.624020297
201	0.6209338709
202	0.6157223023
203	0.6102935032
204	0.608814249
205	0.6040459266
206	0.6017599844
207	0.5977603337
208	0.5940342672
209	0.5911335144
210	0.5897974826
211	0.5881354963
212	0.5857215049
213	0.5841976314
214	0.58293591
215	0.5821138535
216	0.5773511974
217	0.5725419328
218	0.5681962682
219	0.5646347401
220	0.560165005
221	0.5567899185
222	0.5527383285
223	0.5491952092
224	0.545340045
225	0.541769672
226	0.5389702003
227	0.5368783506
228	0.5348921744
229	0.5316070974
230	0.5287571584
231	0.5261588185
232	0.5247714905
233	0.5232115177
234	0.520440325
235	0.5179706544
236	0.5138170287
237	0.511678694
238	0.5077895096
239	0.5048802245
240	0.5030133313
241	0.4995912693
242	0.4974753086
243	0.4964724185
244	0.495326704
245	0.4929491579
246	0.4910230488
247	0.4886173719
248	0.4873339797
249	0.4840793979
250	0.4821285148
251	0.4802635644
252	0.4782829894
253	0.4755728636
254	0.4726181514
255	0.4711919706
256	0.4689487916
257	0.4670388763
258	0.4651753458
259	0.4641831884
260	0.4628571129
261	0.4598276257
262	0.4587209292
263	0.4562592678
264	0.4547666291
265	0.4532928609
266	0.4512084123
267	0.4486633115
268	0.4480161077
269	0.4454705919
270	0.4443564411
271	0.4438537867
272	0.4417353283
273	0.4398512302
274	0.4371651196
275	0.4355854187
276	0.4354453437
277	0.4347370904
278	0.4335159305
279	0.4330116522
280	0.4311231844
281	0.428083156
282	0.4271187567
283	0.4252032865
284	0.4231126884
285	0.4210308943
286	0.4203829406
287	0.419768109
288	0.4178331218
289	0.4165855676
290	0.4156429636
291	0.4151549514
292	0.4139758776
293	0.4135022561
294	0.4132026006
295	0.4114035977
296	0.4105419771
297	0.4101088216
298	0.4098351776
299	0.407980975
300	0.4068216565
301	0.4049914517
302	0.4021958539
303	0.40142369
304	0.4010817335
305	0.3995287231
306	0.398557926
307	0.3967592549
308	0.396484054
309	0.3947181229
310	0.3937097653
311	0.3916301666
312	0.3894828948
313	0.3889134882
314	0.3876513416
315	0.386089801
316	0.3843199231
317	0.3840895002
318	0.3824395203
319	0.3816295056
320	0.3800628102
321	0.3789222312
322	0.377433704
323	0.3769818797
324	0.3755737889
325	0.3734862055
326	0.37235842
327	0.3710551291
328	0.3697365014
329	0.369190255
330	0.3673579907
331	0.3661252296
332	0.364399124
333	0.3632573901
334	0.3616148665
335	0.3615266073
336	0.360343544
337	0.3601390653
338	0.3578538977
339	0.3563851455
340	0.3561963254
341	0.3560052479
342	0.355821449
343	0.3547461298
344	0.3540855939
345	0.3531258101
346	0.3521700614
347	0.3508136396
348	0.3495464438
349	0.347854493
350	0.3463841735
351	0.3456223208
352	0.3440041147
353	0.3422592148
354	0.3415804967
355	0.3408947347
356	0.3402449441
357	0.3390312173
358	0.3373777327
359	0.3362647422
360	0.3350904049
361	0.3342827064
362	0.333687324
363	0.3325125086
364	0.3305111538
365	0.3297940002
366	0.3292690091
367	0.3276737156
368	0.327127439
369	0.3266044661
370	0.3257076162
371	0.3249763374
372	0.3228502955
373	0.3212428497
374	0.3202900011
375	0.319550029
376	0.3186177925
377	0.3176007292
378	0.3173536804
379	0.3172702462
380	0.3166467967
381	0.3153234305
382	0.3145055243
383	0.3138868446
384	0.3133425189
385	0.3129717682
386	0.311966067
387	0.3118574512
388	0.311115073
389	0.3094020212
390	0.3087945138
391	0.3084432857
392	0.3076894567
393	0.3063385734
394	0.3048644378
395	0.3041604058
396	0.3038708463
397	0.3019577641
398	0.3019102569
399	0.3005430958
400	0.2991465244
401	0.2984704849
402	0.2978711557
403	0.2967967231
404	0.2955796421
405	0.2950164169
406	0.2946446055
407	0.2930847201
408	0.2915010865
409	0.2908303114
410	0.2894947131
411	0.288387786
412	0.2875412215
413	0.2869683304
414	0.2862233233
415	0.286168387
416	0.2860857909
417	0.2853101593
418	0.2845888043
419	0.2839319159
420	0.2838466326
421	0.2830932414
