iter	Passed	Remaining
0	37	18902
1	81	20276
2	112	18590
3	153	19041
4	183	18208
5	220	18139
6	260	18320
7	303	18664
8	340	18572
9	377	18477
10	418	18595
11	459	18678
12	494	18506
13	530	18429
14	566	18307
15	603	18253
16	639	18160
17	675	18086
18	710	17978
19	747	17928
20	776	17710
21	811	17624
22	847	17573
23	884	17541
24	920	17484
25	955	17425
26	990	17349
27	1031	17389
28	1056	17151
29	1090	17090
30	1125	17035
31	1162	16995
32	1179	16694
33	1215	16653
34	1250	16617
35	1290	16636
36	1323	16563
37	1358	16521
38	1409	16657
39	1444	16613
40	1479	16564
41	1515	16522
42	1551	16487
43	1570	16279
44	1606	16245
45	1642	16209
46	1676	16160
47	1694	15960
48	1729	15922
49	1747	15730
50	1784	15708
51	1820	15682
52	1859	15681
53	1894	15645
54	1930	15615
55	1966	15592
56	1997	15526
57	2034	15501
58	2070	15475
59	2108	15460
60	2145	15444
61	2180	15406
62	2220	15402
63	2234	15220
64	2274	15220
65	2310	15196
66	2350	15192
67	2391	15191
68	2435	15215
69	2474	15200
70	2512	15183
71	2553	15178
72	2593	15169
73	2632	15155
74	2670	15131
75	2695	15036
76	2734	15021
77	2774	15011
78	2815	15006
79	2852	14974
80	2890	14954
81	2931	14945
82	2970	14921
83	3010	14908
84	3050	14894
85	3091	14881
86	3131	14864
87	3169	14839
88	3207	14811
89	3231	14722
90	3272	14706
91	3308	14671
92	3345	14640
93	3385	14624
94	3425	14603
95	3462	14571
96	3493	14515
97	3531	14485
98	3569	14458
99	3612	14449
100	3650	14421
101	3691	14404
102	3730	14377
103	3767	14344
104	3804	14311
105	3843	14287
106	3882	14260
107	3922	14236
108	3963	14218
109	4001	14186
110	4038	14153
111	4075	14118
112	4112	14085
113	4150	14054
114	4189	14027
115	4216	13956
116	4256	13933
117	4303	13932
118	4349	13925
119	4383	13880
120	4429	13873
121	4468	13846
122	4509	13822
123	4549	13794
124	4591	13773
125	4631	13745
126	4676	13733
127	4719	13716
128	4761	13692
129	4803	13670
130	4843	13643
131	4880	13605
132	4919	13575
133	4956	13538
134	4995	13505
135	5035	13476
136	5076	13452
137	5113	13414
138	5152	13382
139	5195	13360
140	5234	13328
141	5272	13292
142	5310	13257
143	5347	13221
144	5386	13187
145	5453	13221
146	5503	13214
147	5542	13182
148	5579	13144
149	5617	13108
150	5656	13073
151	5695	13040
152	5733	13003
153	5770	12964
154	5808	12929
155	5845	12889
156	5882	12852
157	5919	12813
158	5956	12773
159	5999	12748
160	6038	12713
161	6080	12685
162	6124	12662
163	6164	12629
164	6205	12598
165	6258	12592
166	6301	12566
167	6341	12532
168	6381	12499
169	6424	12471
170	6466	12441
171	6507	12410
172	6544	12369
173	6584	12335
174	6623	12300
175	6661	12263
176	6697	12222
177	6735	12184
178	6779	12157
179	6820	12126
180	6861	12092
181	6901	12058
182	6939	12020
183	6978	11984
184	7018	11950
